timestamp,nav_state,failure
1152000,4,0
1672000,4,0
2184000,4,0
2728000,4,0
3240000,4,0
3792000,4,0
4344000,4,0
4888000,4,0
5400000,4,0
5952000,4,0
6456000,4,0
6968000,4,0
7512000,4,0
8024000,4,0
8576000,4,0
9080000,4,0
9584000,4,0
10088000,4,0
10592000,4,0
11096000,4,0
11600000,4,0
12104000,4,0
12608000,4,0
13112000,4,0
13616000,4,0
14120000,4,0
14624000,4,0
15128000,4,0
15632000,4,0
16136000,4,0
16640000,4,0
17144000,4,0
17648000,4,0
18152000,4,0
18656000,4,0
19160000,4,0
19664000,4,0
20168000,4,0
20672000,4,0
21176000,4,0
21680000,4,0
22184000,4,0
22688000,4,0
23192000,4,0
23696000,4,0
24200000,4,0
24704000,4,0
25208000,4,0
25712000,4,0
26216000,4,0
26720000,4,0
27224000,4,0
27728000,4,0
28232000,4,0
28736000,4,0
29240000,4,0
29744000,4,0
30248000,4,0
30752000,4,0
31256000,4,0
31760000,4,0
32264000,4,0
32768000,4,0
33272000,4,0
33776000,4,0
34280000,4,0
34784000,4,0
35288000,4,0
35792000,4,0
36296000,4,0
36800000,4,0
37304000,4,0
37808000,4,0
38312000,4,0
38816000,4,0
39320000,4,0
39824000,4,0
40328000,4,0
40832000,4,0
41336000,4,0
41840000,4,0
42344000,4,0
42848000,4,0
43352000,4,0
43856000,4,0
44360000,4,0
44864000,4,0
45368000,4,0
45872000,4,0
46376000,4,0
46880000,4,0
47384000,4,0
47888000,4,0
48392000,4,0
48896000,4,0
49400000,4,0
49904000,4,0
50408000,4,0
50912000,4,0
51416000,4,0
51920000,4,0
52424000,4,0
52928000,4,0
53432000,4,0
53936000,4,0
54440000,4,0
54944000,4,0
55448000,4,0
55952000,4,0
56456000,4,0
56960000,4,0
57464000,4,0
57968000,4,0
58472000,4,0
58976000,4,0
59480000,4,0
59984000,4,0
60488000,4,0
60992000,4,0
61496000,4,0
62000000,4,0
62504000,4,0
63008000,4,0
63512000,4,0
64016000,4,0
64520000,4,0
65024000,4,0
65528000,4,0
66032000,4,0
66536000,4,0
67040000,4,0
67544000,4,0
68048000,4,0
68552000,4,0
69056000,4,0
69560000,4,0
70064000,4,0
70568000,4,0
71072000,4,0
71576000,4,0
72080000,4,0
72584000,4,0
73088000,4,0
73592000,4,0
74096000,4,0
74600000,4,0
75104000,4,0
75608000,4,0
76112000,4,0
76616000,4,0
77120000,4,0
77624000,4,0
78128000,4,0
78632000,4,0
79136000,4,0
79640000,4,0
80144000,4,0
80648000,4,0
81152000,4,0
81656000,4,0
82160000,4,0
82664000,4,0
83168000,4,0
83672000,4,0
84176000,4,0
84680000,4,0
85184000,4,0
85688000,4,0
86192000,4,0
86696000,4,0
87200000,4,0
87704000,4,0
88208000,4,0
88712000,4,0
89216000,4,0
89720000,4,0
90224000,4,0
90728000,4,0
91232000,4,0
91736000,4,0
92240000,4,0
92744000,4,0
93248000,4,0
93752000,4,0
94256000,4,0
94760000,4,0
95264000,4,0
95768000,4,0
96272000,4,0
96776000,4,0
97280000,4,0
97784000,4,0
98288000,4,0
98792000,4,0
99296000,4,0
99800000,4,0
100304000,4,0
100808000,4,0
101312000,4,0
101816000,4,0
102320000,4,0
102824000,4,0
103328000,4,0
103832000,4,0
104336000,4,0
104840000,4,0
105344000,4,0
105848000,4,0
106352000,4,0
106856000,4,0
107360000,4,0
107864000,4,0
108368000,4,0
108872000,4,0
109376000,4,0
109880000,4,0
110384000,4,0
110888000,4,0
111392000,4,0
111896000,4,0
112400000,4,0
112904000,4,0
113408000,4,0
113912000,4,0
114416000,4,0
114920000,4,0
115424000,4,0
115928000,4,0
116432000,4,0
116936000,4,0
117440000,4,0
117944000,4,0
118448000,4,0
118952000,4,0
119456000,4,0
119960000,4,0
120464000,4,0
120968000,4,0
121472000,4,0
121976000,4,0
122480000,4,0
122984000,4,0
123488000,4,0
123992000,4,0
124496000,4,0
125000000,4,0
125504000,4,0
126008000,4,0
126512000,4,0
127016000,4,0
127520000,4,0
128024000,4,0
128528000,4,0
129032000,4,0
129536000,4,0
130040000,4,0
130544000,4,0
131048000,4,0
131552000,4,0
132056000,4,0
132560000,4,0
133064000,4,0
133568000,4,0
134072000,4,0
134576000,4,0
135080000,4,0
135584000,4,0
136088000,4,0
136592000,4,0
137096000,4,0
137600000,4,0
138104000,4,0
138608000,4,0
139112000,4,0
139616000,4,0
140120000,4,0
140624000,4,0
141128000,4,0
141632000,4,0
142136000,4,0
142640000,4,0
143144000,4,0
143648000,4,0
144152000,4,0
144656000,4,0
145160000,4,0
145664000,4,0
146168000,4,0
146672000,4,0
147176000,4,0
147680000,4,0
148184000,4,0
148688000,4,0
149192000,4,0
149696000,4,0
150200000,4,0
150704000,4,0
151208000,4,0
151712000,4,0
152216000,4,0
152720000,4,0
153224000,4,0
153728000,4,0
154232000,4,0
154736000,4,0
155240000,4,0
155744000,4,0
156248000,4,0
156752000,4,0
157256000,4,0
157760000,4,0
158264000,4,0
158768000,4,0
159272000,4,0
159776000,4,0
160280000,4,0
160784000,4,0
161288000,4,0
161792000,4,0
162296000,4,0
162800000,4,0
163304000,4,0
163808000,4,0
164312000,4,0
164816000,4,0
165320000,4,0
165824000,4,0
166328000,4,0
166832000,4,0
167336000,4,0
167840000,4,0
168344000,4,0
168848000,4,0
169352000,4,0
169856000,4,0
170360000,4,0
170864000,4,0
171368000,4,0
171872000,4,0
172376000,4,0
172880000,4,0
173384000,4,0
173888000,4,0
174392000,4,0
174896000,4,0
175400000,4,0
175904000,4,0
176408000,4,0
176912000,4,0
177416000,4,0
177920000,4,0
178424000,4,0
178928000,4,0
179432000,4,0
179936000,4,0
180440000,4,0
180944000,4,0
