timestamp,load,ram_usage
2100000,0.14,0.16425776
2600000,0.12,0.16425876
3100000,0.08,0.16424525
3600000,0.08,0.16454686
4100000,0.1,0.16450177
4600000,0.08,0.16461702
5100000,0.078431375,0.16464607
5600000,0.08,0.16477984
6100000,0.10204082,0.16467863
6600000,0.14,0.16464156
7100000,0.09803922,0.16487604
7600000,0.08163265,0.16481441
8100000,0.13725491,0.16471271
8600000,0.14285715,0.16469568
9100000,0.11764706,0.16466911
9600000,0.16,0.1649978
10100000,0.14,0.1649963
10600000,0.12,0.16489509
11100000,0.12244898,0.16498026
11600000,0.09803922,0.16515663
12100000,0.08163265,0.16512556
12600000,0.08,0.16513409
13100000,0.1,0.16498928
13600000,0.09803922,0.16515411
14100000,0.08,0.1650975
14600000,0.08,0.16510603
15100000,0.08,0.16511604
15600000,0.1,0.16550785
16100000,0.08,0.16526635
16600000,0.1,0.16525884
17100000,0.08,0.16520724
17600000,0.10204082,0.16531295
18100000,0.1,0.16525483
18600000,0.1,0.16523027
19100000,0.08,0.16520824
19600000,0.08,0.16518669
20100000,0.078431375,0.16484798
20600000,0.08,0.16482393
21100000,0.08,0.16496022
21600000,0.1,0.16494268
22100000,0.1,0.16478686
22600000,0.08,0.16479638
23100000,0.06,0.16477984
23600000,0.08,0.16475129
24100000,0.1,0.16496724
24600000,0.078431375,0.16496474
25100000,0.06,0.1649968
25600000,0.08,0.1651431
26100000,0.08,0.16498527
26600000,0.08,0.16497575
27100000,0.08,0.16497275
27600000,0.08,0.16489108
28100000,0.08,0.16496272
28600000,0.08,0.16494219
29100000,0.06,0.16486353
29600000,0.08,0.16483647
30100000,0.08,0.16481693
30600000,0.08,0.16479889
31100000,0.08,0.16473927
31600000,0.08,0.16459346
32100000,0.06,0.16453134
32600000,0.1,0.16454186
33100000,0.08,0.16452281
33600000,0.08,0.16450478
34100000,0.08,0.16453584
34600000,0.1,0.16454536
35100000,0.08163265,0.16443914
35600000,0.1,0.16447522
36100000,0.08,0.16459948
36600000,0.1,0.16457793
37100000,0.08,0.16455689
37600000,0.09803922,0.16480139
38100000,0.14,0.16453935
38600000,0.06122449,0.16450378
39100000,0.12,0.16448122
39600000,0.09803922,0.16446269
40100000,0.1,0.16453534
40600000,0.1,0.16441458
41100000,0.08163265,0.16458245
41600000,0.12,0.16454686
42100000,0.078431375,0.16439806
42600000,0.10204082,0.16437852
43100000,0.1,0.16434745
43600000,0.078431375,0.16432841
44100000,0.12,0.16471972
44600000,0.08163265,0.16462402
45100000,0.05882353,0.16470118
45600000,0.08,0.16477534
46100000,0.08,0.16484599
46600000,0.12,0.16454737
47100000,0.08,0.16451931
47600000,0.1,0.16450228
48100000,0.1,0.16507997
48600000,0.08,0.16460247
49100000,0.08,0.16483647
49600000,0.12,0.16457142
50100000,0.08,0.16456741
50600000,0.1,0.1647092
51100000,0.12,0.16465709
51600000,0.08,0.16463505
52100000,0.08,0.16464457
52600000,0.08,0.16481191
53100000,0.06,0.16482344
53600000,0.08,0.16479237
54100000,0.1,0.16480389
54600000,0.08,0.16488957
55100000,0.08,0.16486754
55600000,0.08,0.1650023
56100000,0.08,0.16501734
56600000,0.125,0.16492514
57100000,0.14705883,0.16491413
57600000,0.06521739,0.16492414
58100000,0.083333336,0.16487004
58600000,0.08,0.1651441
59100000,0.1,0.16505441
59600000,0.1,0.16498828
60100000,0.12,0.16498828
60600000,0.12,0.16496022
61100000,0.1,0.16520523
61600000,0.12,0.16521375
62100000,0.1,0.16522327
62600000,0.08,0.16520222
63100000,0.1,0.16498277
63600000,0.08,0.16496874
64100000,0.12,0.16491462
64600000,0.08,0.16492414
65100000,0.1,0.16497174
65600000,0.12,0.16503388
66100000,0.12,0.16506745
66600000,0.08,0.16509901
67100000,0.1,0.1650444
67600000,0.08,0.16506544
68100000,0.1,0.16502686
68600000,0.1,0.16502586
69100000,0.06,0.1647603
69600000,0.12,0.16474126
70100000,0.06,0.16471872
70600000,0.1,0.16469216
71100000,0.08,0.1645644
71600000,0.1,0.16467163
72100000,0.06,0.16464958
72600000,0.06,0.16462904
73100000,0.1,0.16456892
73600000,0.06,0.16452082
74100000,0.1,0.16449827
74600000,0.08,0.16450928
75100000,0.06,0.16459146
75600000,0.1,0.16443363
76100000,0.08,0.16459997
76600000,0.08,0.16457793
77100000,0.08,0.16484699
77600000,0.06,0.16482544
78100000,0.1,0.16481441
78600000,0.06,0.16480139
79100000,0.08,0.1651436
79600000,0.08,0.16511004
80100000,0.08,0.16501734
80600000,0.06,0.16502786
81100000,0.1,0.16514009
81600000,0.078431375,0.16511053
82100000,0.06,0.16508748
82600000,0.08,0.16506644
83100000,0.08,0.1650469
83600000,0.08,0.16497174
84100000,0.08,0.1649512
84600000,0.08,0.1649532
85100000,0.08,0.16493216
85600000,0.06,0.16496474
86100000,0.1,0.16497424
86600000,0.08,0.16498327
87100000,0.08,0.1649016
87600000,0.06,0.16459095
88100000,0.08,0.16463104
88600000,0.08,0.164609
89100000,0.09756097,0.16459246
89600000,0.13636364,0.16460648
90100000,0.093023255,0.16434094
90600000,0.08510638,0.1643194
91100000,0.08,0.16436048
91600000,0.08163265,0.16433944
92100000,0.08,0.16437751
92600000,0.078431375,0.16438854
93100000,0.08,0.1642718
93600000,0.08163265,0.16425025
94100000,0.05882353,0.16422921
94600000,0.08163265,0.16422921
95100000,0.078431375,0.16407138
95600000,0.08,0.16407138
96100000,0.08,0.16452932
96600000,0.08,0.1646556
97100000,0.08,0.16463104
97600000,0.08,0.16468164
98100000,0.08163265,0.16458996
98600000,0.08,0.16473074
99100000,0.08,0.16470118
99600000,0.1,0.16469117
100100000,0.08,0.16475329
100600000,0.1,0.16473074
101100000,0.08,0.16476633
101600000,0.06,0.16478635
102100000,0.09803922,0.16484849
102600000,0.08163265,0.16488957
103100000,0.06,0.16489859
103600000,0.1,0.16487704
104100000,0.09803922,0.16501583
104600000,0.08,0.16498427
105100000,0.1,0.16501483
105600000,0.06,0.1649447
106100000,0.08,0.16495721
106600000,0.1,0.16505842
107100000,0.08,0.16501634
107600000,0.06,0.16498177
108100000,0.1,0.1649983
108600000,0.08,0.16485651
109100000,0.08,0.1649497
109600000,0.06,0.16476431
110100000,0.1,0.16507496
110600000,0.08,0.16485952
111100000,0.08,0.16482694
111600000,0.08,0.16487806
112100000,0.06,0.16471872
112600000,0.08,0.16462703
113100000,0.1,0.16460499
113600000,0.06,0.16458344
114100000,0.08,0.16462402
114600000,0.1,0.16469717
115100000,0.06,0.16468114
115600000,0.08,0.16473275
116100000,0.08,0.16472523
116600000,0.08,0.1649928
117100000,0.08,0.16502686
117600000,0.08,0.16503638
118100000,0.1,0.16502135
118600000,0.08,0.16489208
119100000,0.08,0.16490611
119600000,0.08,0.16488357
120100000,0.08,0.16486652
120600000,0.08,0.164851
121100000,0.08,0.16483797
121600000,0.06,0.16479638
122100000,0.13636364,0.16459797
122600000,0.13513513,0.16455337
123100000,0.08695652,0.16472273
123600000,0.08163265,0.16472724
124100000,0.06,0.1647132
124600000,0.08163265,0.16468315
125100000,0.08,0.16463806
125600000,0.078431375,0.16463956
126100000,0.06122449,0.16464907
126600000,0.11764706,0.16487956
127100000,0.14,0.16498126
127600000,0.08,0.16495821
128100000,0.1,0.1649993
128600000,0.08,0.16497676
129100000,0.12,0.16520773
129600000,0.1,0.16519871
130100000,0.1,0.16522476
130600000,0.12,0.16517267
131100000,0.08163265,0.1649557
131600000,0.1,0.16496474
132100000,0.06,0.16497424
132600000,0.11764706,0.16501383
133100000,0.08,0.16498427
133600000,0.1,0.16494519
134100000,0.1,0.16498427
134600000,0.08,0.16498327
135100000,0.1,0.16498427
135600000,0.08,0.16498427
136100000,0.1,0.16500932
136600000,0.1,0.16489708
137100000,0.08,0.16511053
137600000,0.08,0.1650925
138100000,0.1,0.16505642
138600000,0.1,0.16505642
139100000,0.08,0.16532297
139600000,0.1,0.16532998
140100000,0.08,0.16530594
140600000,0.1,0.16528489
141100000,0.1,0.16548832
141600000,0.08,0.16561858
142100000,0.1,0.1656271
142600000,0.08,0.16534501
143100000,0.08,0.165578
143600000,0.12,0.16536306
144100000,0.1,0.16562359
144600000,0.1,0.16493466
145100000,0.1,0.16633105
145600000,0.1,0.16734265
146100000,0.08,0.16806014
146600000,0.12,0.16752453
147100000,0.1,0.16879015
147600000,0.08,0.16859925
148100000,0.1,0.16860777
148600000,0.08,0.16860075
149100000,0.1,0.16857068
149600000,0.08,0.1682846
150100000,0.08,0.16851357
150600000,0.1,0.16849403
151100000,0.08,0.16860926
151600000,0.12,0.16891941
152100000,0.1,0.16890489
