timestamp,timestamp_sample,device_id,pressure,temperature,error_count
2100000,2100000,6620428,95606.41,11.832727,0
3108000,3108000,6620428,95606.29,11.832727,0
4092000,4092000,6620428,95606.7,11.832727,0
5100000,5100000,6620428,95606.336,11.832727,0
6108000,6108000,6620428,95607.99,11.832727,0
7092000,7092000,6620428,95606.586,11.832727,0
8100000,8100000,6620428,95606.234,11.832727,0
9104000,9104000,6620428,95603.36,11.832727,0
10092000,10092000,6620428,95606.16,11.832727,0
11100000,11100000,6620428,95607.65,11.832727,0
12108000,12108000,6620428,95606.555,11.832727,0
13092000,13092000,6620428,95607.3,11.832727,0
14100000,14100000,6620428,95605.67,11.832727,0
15108000,15108000,6620428,95607.4,11.832727,0
16092000,16092000,6620428,95606.125,11.832727,0
17100000,17100000,6620428,95607.336,11.832727,0
18104000,18104000,6620428,95607.46,11.832727,0
19092000,19092000,6620428,95607.05,11.832727,0
20100000,20100000,6620428,95606.695,11.832727,0
21108000,21108000,6620428,95608.97,11.832727,0
22092000,22092000,6620428,95607.85,11.832727,0
23100000,23100000,6620428,95606.336,11.832727,0
24108000,24108000,6620428,95605.086,11.832727,0
25092000,25092000,6620428,95606.37,11.832727,0
26100000,26100000,6620428,95604.266,11.832727,0
27108000,27108000,6620428,95606.85,11.832727,0
28092000,28092000,6620428,95607.94,11.832727,0
29100000,29100000,6620428,95605.15,11.832727,0
30108000,30108000,6620428,95607.31,11.832727,0
31092000,31092000,6620428,95605.87,11.832727,0
32100000,32100000,6620428,95605.26,11.832727,0
33108000,33108000,6620428,95608.05,11.832727,0
34092000,34092000,6620428,95606.16,11.832727,0
35096000,35096000,6620428,95606.73,11.832727,0
36108000,36108000,6620428,95607.734,11.832727,0
37092000,37092000,6620428,95606.336,11.832727,0
38100000,38100000,6620428,95606.04,11.832727,0
39104000,39104000,6620428,95605.42,11.832727,0
40092000,40092000,6620428,95606.125,11.832727,0
41100000,41100000,6620428,95606.29,11.832727,0
42108000,42108000,6620428,95605.2,11.832727,0
43092000,43092000,6620428,95607.81,11.832727,0
44100000,44100000,6620428,95607.44,11.832727,0
45108000,45108000,6620428,95607.94,11.832727,0
46092000,46092000,6620428,95606.414,11.832727,0
47100000,47100000,6620428,95606.516,11.832727,0
48108000,48108000,6620428,95605.945,11.832727,0
49092000,49092000,6620428,95606.41,11.832727,0
50100000,50100000,6620428,95608.27,11.832727,0
51108000,51108000,6620428,95606.125,11.832727,0
52092000,52092000,6620428,95606.42,11.832727,0
53100000,53100000,6620428,95606.445,11.832727,0
54108000,54108000,6620428,95606.875,11.832727,0
55092000,55092000,6620428,95605.51,11.832727,0
56100000,56100000,6620428,95607.66,11.832727,0
