timestamp,lat,lon,alt,x,y,z,roll,pitch,yaw,update_count,valid_alt,valid_hpos,valid_lpos,manual_home
2284000,47.3977508,8.5456074,488.1,0.0,0.0,0.0,0.0,0.0,0.0,67,1,1,0,0
2296000,47.3977508,8.5456073,488.1,0.0,0.0,0.0,0.0,0.0,0.0,68,1,1,0,0
2308000,47.3977508,8.5456073,488.1,0.0,0.0,0.0,0.0,0.0,0.0,69,1,1,0,0
2320000,47.3977508,8.5456073,488.1,0.0,0.0,0.0,0.0,0.0,0.0,70,1,1,0,0
2332000,47.3977508,8.5456073,488.1,0.0,0.0,0.0,0.0,0.0,0.0,71,1,1,0,0
2344000,47.3977508,8.5456073,488.1,0.0,0.0,0.0,0.0,0.0,0.0,72,1,1,0,0
2356000,47.3977508,8.5456073,488.1,0.0,0.0,0.0,0.0,0.0,0.0,73,1,1,0,0
2368000,47.3977508,8.5456073,488.1,0.0,0.0,0.0,0.0,0.0,0.0,74,1,1,0,0
2380000,47.3977508,8.5456073,488.1,0.0,0.0,0.0,0.0,0.0,0.0,75,1,1,0,0
2392000,47.3977508,8.5456073,488.1,0.0,0.0,0.0,0.0,0.0,0.0,76,1,1,0,0
2404000,47.3977508,8.5456073,488.1,0.0,0.0,0.0,0.0,0.0,0.0,77,1,1,0,0
2416000,47.3977508,8.5456073,488.1,0.0,0.0,0.0,0.0,0.0,0.0,78,1,1,0,0
2428000,47.3977508,8.5456073,488.1,0.0,0.0,0.0,0.0,0.0,0.0,79,1,1,0,0
2440000,47.3977508,8.5456073,488.1,0.0,0.0,0.0,0.0,0.0,0.0,80,1,1,0,0
2452000,47.3977508,8.5456073,488.1,0.0,0.0,0.0,0.0,0.0,0.0,81,1,1,0,0
2464000,47.3977508,8.5456073,488.1,0.0,0.0,0.0,0.0,0.0,0.0,82,1,1,0,0
2476000,47.3977508,8.5456073,488.1,0.0,0.0,0.0,0.0,0.0,0.0,83,1,1,0,0
2488000,47.3977508,8.5456073,488.1,0.0,0.0,0.0,0.0,0.0,0.0,84,1,1,0,0
2500000,47.3977508,8.5456073,488.1,0.0,0.0,0.0,0.0,0.0,0.0,85,1,1,0,0
2512000,47.3977508,8.5456073,488.1,0.0,0.0,0.0,0.0,0.0,0.0,86,1,1,0,0
2524000,47.3977508,8.5456073,488.1,0.0,0.0,0.0,0.0,0.0,0.0,87,1,1,0,0
2536000,47.3977508,8.5456073,488.1,0.0,0.0,0.0,0.0,0.0,0.0,88,1,1,0,0
2548000,47.3977508,8.5456073,488.1,0.0,0.0,0.0,0.0,0.0,0.0,89,1,1,0,0
2560000,47.3977508,8.5456073,488.1,0.0,0.0,0.0,0.0,0.0,0.0,90,1,1,0,0
2572000,47.3977508,8.5456073,488.1,0.0,0.0,0.0,0.0,0.0,0.0,91,1,1,0,0
2584000,47.3977508,8.5456073,488.1,0.0,0.0,0.0,0.0,0.0,0.0,92,1,1,0,0
2596000,47.3977508,8.5456073,488.1,0.0,0.0,0.0,0.0,0.0,0.0,93,1,1,0,0
2608000,47.3977508,8.5456073,488.1,0.0,0.0,0.0,0.0,0.0,0.0,94,1,1,0,0
2620000,47.3977508,8.5456073,488.1,0.0,0.0,0.0,0.0,0.0,0.0,95,1,1,0,0
2632000,47.3977508,8.5456073,488.1,0.0,0.0,0.0,0.0,0.0,0.0,96,1,1,0,0
2644000,47.3977508,8.5456073,488.1,0.0,0.0,0.0,0.0,0.0,0.0,97,1,1,0,0
2656000,47.3977508,8.5456073,488.1,0.0,0.0,0.0,0.0,0.0,0.0,98,1,1,0,0
2668000,47.3977508,8.5456073,488.1,0.0,0.0,0.0,0.0,0.0,0.0,99,1,1,0,0
2680000,47.3977508,8.5456073,488.1,0.0,0.0,0.0,0.0,0.0,0.0,100,1,1,0,0
2692000,47.3977508,8.5456074,488.107,0.0,0.0,0.0,0.0,0.0,0.0,101,1,1,0,0
2704000,47.3977508,8.5456074,488.107,0.0,0.0,0.0,0.0,0.0,0.0,102,1,1,0,0
2716000,47.3977508,8.5456074,488.107,0.0,0.0,0.0,0.0,0.0,0.0,103,1,1,0,0
2728000,47.3977508,8.5456074,488.107,0.0,0.0,0.0,0.0,0.0,0.0,104,1,1,0,0
2740000,47.3977508,8.5456074,488.107,0.0,0.0,0.0,0.0,0.0,0.0,105,1,1,0,0
2752000,47.3977508,8.5456074,488.107,0.0,0.0,0.0,0.0,0.0,0.0,106,1,1,0,0
2764000,47.3977508,8.5456074,488.107,0.0,0.0,0.0,0.0,0.0,0.0,107,1,1,0,0
