timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2],xyz_derivative[0],xyz_derivative[1],xyz_derivative[2]
1264000,0,7.481551e-26,-9.321344e-19,-1.2478579e-26,0.0,0.0,0.0
1268000,0,8.523592e-26,-9.218553e-19,-1.2508055e-26,0.0,0.0,0.0
1276000,0,1.0474998e-25,-9.016361e-19,-1.2568966e-26,0.0,0.0,0.0
1284000,0,1.2259106e-25,-8.818602e-19,-1.2632245e-26,0.0,0.0,0.0
1296000,0,1.4645284e-25,-8.5300705e-19,-1.2731006e-26,0.0,0.0,0.0
1304000,0,1.6057473e-25,-8.34298e-19,-1.27990425e-26,0.0,0.0,0.0
1316000,0,1.7931216e-25,-8.07001e-19,-1.29038184e-26,0.0,0.0,0.0
1324000,0,1.902994e-25,-7.8930107e-19,-1.2975178e-26,0.0,0.0,0.0
1336000,0,2.047233e-25,-7.6347633e-19,-1.3084008e-26,0.0,0.0,0.0
1344000,0,2.1307547e-25,-7.46731e-19,-1.3157503e-26,0.0,0.0,0.0
1356000,0,-7.37407e-23,-6.8726956e-17,-4.668466e-24,0.0,0.0,0.0
1364000,0,1.3656825e-23,1.0397396e-18,-1.1434557e-25,0.0,0.0,0.0
1376000,0,5.7935783e-24,7.4759255e-19,-2.8312605e-25,0.0,0.0,0.0
1384000,0,5.479098e-24,7.2770827e-19,-2.81923e-25,0.0,0.0,0.0
1396000,0,5.0172516e-24,7.0062286e-19,-2.8082386e-25,0.0,0.0,0.0
1404000,0,4.721165e-24,6.8401255e-19,-2.807087e-25,0.0,0.0,0.0
1416000,0,4.300751e-24,6.605602e-19,-2.8100416e-25,0.0,0.0,0.0
1424000,0,4.037661e-24,6.456641e-19,-2.81364e-25,0.0,0.0,0.0
1436000,0,3.6692157e-24,6.241871e-19,-2.8200355e-25,0.0,0.0,0.0
1444000,0,-2.1336838e-23,-7.2560014e-19,-1.1620128e-24,0.0,0.0,0.0
1456000,0,4.180017e-25,-6.965263e-20,-1.4512893e-25,0.0,0.0,0.0
1464000,0,3.7104235e-25,-7.178728e-20,-1.4874962e-25,0.0,0.0,0.0
1476000,0,2.0100435e-23,1.7392075e-17,2.0572802e-25,0.0,0.0,0.0
1484000,0,-7.2277915e-05,-0.0014247398,-3.3419172e-07,0.0,0.0,0.0
1496000,0,5.584508e-05,5.7561338e-05,2.0874163e-08,0.0,0.0,0.0
1504000,0,5.4626766e-05,5.1259685e-05,2.0819476e-08,0.0,0.0,0.0
1516000,0,5.4681328e-05,5.0893595e-05,2.0840371e-08,0.0,0.0,0.0
1524000,0,5.4715394e-05,5.078901e-05,2.0821576e-08,0.0,0.0,0.0
1536000,0,5.4744905e-05,5.069909e-05,2.0796833e-08,0.0,0.0,0.0
1544000,0,5.4756034e-05,5.066513e-05,2.0781142e-08,0.0,0.0,0.0
1556000,0,5.4765667e-05,5.063564e-05,2.0758208e-08,0.0,0.0,0.0
