timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
2168000,2168000,1310988,-0.11492168,0.1436521,-9.842564,11.832727,0,0,0,0,1
3168000,3168000,1310988,0.06464344,0.016759412,-9.753978,11.832727,0,0,0,0,1
4168000,4168000,1310988,-0.01436521,-0.05746084,-9.89763,11.832727,0,0,0,0,1
5168000,5168000,1310988,0.0023942017,0.01436521,-9.835381,11.832727,0,0,0,0,1
6168000,6168000,1310988,0.0,-0.04070143,-9.763555,11.832727,0,0,0,0,1
7168000,7168000,1310988,0.02633622,-0.074220255,-9.840169,11.832727,0,0,0,0,1
8168000,8168000,1310988,0.04070143,0.016759412,-9.7803135,11.832727,0,0,0,0,1
9168000,9168000,1310988,0.0,0.076614454,-9.8042555,11.832727,0,0,0,0,1
10168000,10168000,1310988,-0.033518825,0.06703765,-9.880871,11.832727,0,0,0,0,1
11168000,11168000,1310988,0.107739076,-0.04070143,-9.832987,11.832727,0,0,0,0,1
12168000,12168000,1310988,0.045489833,-0.019153614,-9.864111,11.832727,0,0,0,0,1
13168000,13168000,1310988,0.079008654,-0.02873042,-9.847352,11.832727,0,0,0,0,1
14168000,14168000,1310988,0.050278235,-0.035913024,-9.7563715,11.832727,0,0,0,0,1
15168000,15168000,1310988,-0.021547815,-0.033518825,-9.82341,11.832727,0,0,0,0,1
16168000,16168000,1310988,0.14844051,0.031124622,-9.799467,11.832727,0,0,0,0,1
17168000,17168000,1310988,0.16519992,0.023942016,-9.892841,11.832727,0,0,0,0,1
18168000,18168000,1310988,-0.05746084,-0.1436521,-9.928755,11.832727,0,0,0,0,1
19168000,19168000,1310988,0.11492168,0.02633622,-9.844957,11.832727,0,0,0,0,1
20168000,20168000,1310988,0.08140286,-0.10534488,-9.847352,11.832727,0,0,0,0,1
21168000,21168000,1310988,0.007182605,-0.0023942017,-9.818622,11.832727,0,0,0,0,1
22168000,22168000,1310988,0.045489833,-0.035913024,-9.588778,11.832727,0,0,0,0,1
