timestamp,defer_failsafes_timeout_s,disable_auto_disarm,defer_failsafes,source_type,source_id
1132000,0,0,0,0,0
1636000,0,0,0,0,0
2140000,0,0,0,0,0
2644000,0,0,0,0,0
3148000,0,0,0,0,0
3652000,0,0,0,0,0
4156000,0,0,0,0,0
4660000,0,0,0,0,0
5164000,0,0,0,0,0
5668000,0,0,0,0,0
6172000,0,0,0,0,0
6676000,0,0,0,0,0
7180000,0,0,0,0,0
7684000,0,0,0,0,0
8188000,0,0,0,0,0
8692000,0,0,0,0,0
9196000,0,0,0,0,0
9700000,0,0,0,0,0
10204000,0,0,0,0,0
10708000,0,0,0,0,0
11212000,0,0,0,0,0
11716000,0,0,0,0,0
12220000,0,0,0,0,0
12724000,0,0,0,0,0
13228000,0,0,0,0,0
13732000,0,0,0,0,0
14236000,0,0,0,0,0
14740000,0,0,0,0,0
15244000,0,0,0,0,0
15748000,0,0,0,0,0
16252000,0,0,0,0,0
16756000,0,0,0,0,0
17260000,0,0,0,0,0
17764000,0,0,0,0,0
18268000,0,0,0,0,0
18772000,0,0,0,0,0
19276000,0,0,0,0,0
19780000,0,0,0,0,0
20284000,0,0,0,0,0
20788000,0,0,0,0,0
21292000,0,0,0,0,0
21796000,0,0,0,0,0
22300000,0,0,0,0,0
22804000,0,0,0,0,0
23308000,0,0,0,0,0
23812000,0,0,0,0,0
24316000,0,0,0,0,0
24820000,0,0,0,0,0
25324000,0,0,0,0,0
25828000,0,0,0,0,0
26332000,0,0,0,0,0
26836000,0,0,0,0,0
27340000,0,0,0,0,0
27844000,0,0,0,0,0
28348000,0,0,0,0,0
28852000,0,0,0,0,0
29356000,0,0,0,0,0
29860000,0,0,0,0,0
30364000,0,0,0,0,0
30868000,0,0,0,0,0
31372000,0,0,0,0,0
31876000,0,0,0,0,0
32380000,0,0,0,0,0
32884000,0,0,0,0,0
33388000,0,0,0,0,0
33892000,0,0,0,0,0
34396000,0,0,0,0,0
34900000,0,0,0,0,0
35404000,0,0,0,0,0
35908000,0,0,0,0,0
36412000,0,0,0,0,0
36916000,0,0,0,0,0
37420000,0,0,0,0,0
37924000,0,0,0,0,0
38428000,0,0,0,0,0
38932000,0,0,0,0,0
39436000,0,0,0,0,0
39940000,0,0,0,0,0
40444000,0,0,0,0,0
40948000,0,0,0,0,0
41452000,0,0,0,0,0
41956000,0,0,0,0,0
42460000,0,0,0,0,0
42964000,0,0,0,0,0
43468000,0,0,0,0,0
43972000,0,0,0,0,0
44476000,0,0,0,0,0
44980000,0,0,0,0,0
45484000,0,0,0,0,0
45988000,0,0,0,0,0
46492000,0,0,0,0,0
46996000,0,0,0,0,0
47500000,0,0,0,0,0
48004000,0,0,0,0,0
48508000,0,0,0,0,0
49012000,0,0,0,0,0
49516000,0,0,0,0,0
50020000,0,0,0,0,0
50524000,0,0,0,0,0
51028000,0,0,0,0,0
51532000,0,0,0,0,0
52036000,0,0,0,0,0
52540000,0,0,0,0,0
53044000,0,0,0,0,0
53548000,0,0,0,0,0
54052000,0,0,0,0,0
54556000,0,0,0,0,0
55060000,0,0,0,0,0
55564000,0,0,0,0,0
56068000,0,0,0,0,0
56572000,0,0,0,0,0
57076000,0,0,0,0,0
57580000,0,0,0,0,0
58084000,0,0,0,0,0
58588000,0,0,0,0,0
59092000,0,0,0,0,0
59596000,0,0,0,0,0
60100000,0,0,0,0,0
60604000,0,0,0,0,0
61108000,0,0,0,0,0
61612000,0,0,0,0,0
62116000,0,0,0,0,0
62620000,0,0,0,0,0
63124000,0,0,0,0,0
63628000,0,0,0,0,0
64132000,0,0,0,0,0
64636000,0,0,0,0,0
65140000,0,0,0,0,0
65644000,0,0,0,0,0
66148000,0,0,0,0,0
66652000,0,0,0,0,0
67156000,0,0,0,0,0
67660000,0,0,0,0,0
68164000,0,0,0,0,0
68668000,0,0,0,0,0
69172000,0,0,0,0,0
69676000,0,0,0,0,0
70180000,0,0,0,0,0
70684000,0,0,0,0,0
71188000,0,0,0,0,0
71692000,0,0,0,0,0
72196000,0,0,0,0,0
72700000,0,0,0,0,0
73204000,0,0,0,0,0
73708000,0,0,0,0,0
74212000,0,0,0,0,0
74716000,0,0,0,0,0
75220000,0,0,0,0,0
75724000,0,0,0,0,0
76228000,0,0,0,0,0
76732000,0,0,0,0,0
77236000,0,0,0,0,0
77740000,0,0,0,0,0
78244000,0,0,0,0,0
78748000,0,0,0,0,0
79252000,0,0,0,0,0
79756000,0,0,0,0,0
80260000,0,0,0,0,0
80764000,0,0,0,0,0
81268000,0,0,0,0,0
81772000,0,0,0,0,0
82276000,0,0,0,0,0
82780000,0,0,0,0,0
83284000,0,0,0,0,0
83788000,0,0,0,0,0
84292000,0,0,0,0,0
