timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_angle_clipping,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
20136000,20136000,1310988,1310988,-1.4913641e-05,3.1956763e-06,-3.515377e-05,0.00025857383,-0.00011970941,-0.03969108,4000,4000,0,0,0,1
20636000,20636000,1310988,1310988,2.9827468e-05,-2.7696864e-05,3.3023167e-05,-2.3942017e-05,0.0002873049,-0.039260127,4000,4000,0,0,0,1
21136000,21136000,1310988,1310988,5.326389e-06,-6.391691e-06,4.687162e-05,-0.00010534488,0.00019632523,-0.03916914,4000,4000,0,0,0,1
21636000,21636000,1310988,1310988,-3.089268e-05,8.5220345e-06,1.2783209e-05,-0.00023942019,2.3942708e-05,-0.03953785,4000,4000,0,0,0,1
22136000,22136000,1310988,1310988,-6.0720216e-05,-1.065394e-06,-3.3022945e-05,0.0002442086,2.8731112e-05,-0.03962404,4000,4000,0,0,0,1
22636000,22636000,1310988,1310988,-1.4913672e-05,-3.1958318e-06,-1.7044253e-05,-0.0004596867,0.00017717163,-0.03987304,4000,4000,0,0,0,1
23136000,23136000,1310988,1310988,-1.8109522e-05,1.1717834e-05,-2.7696893e-05,-2.8730423e-05,-0.0002011123,-0.03923139,4000,4000,0,0,0,1
23636000,23636000,1310988,1310988,-1.27831745e-05,-3.089278e-05,2.130513e-05,0.00051714765,-2.394133e-05,-0.039346315,4000,4000,0,0,0,1
24136000,24136000,1310988,1310988,-1.91748e-05,-1.3848412e-05,9.587339e-06,6.7037654e-05,-0.00019153545,-0.03907816,4000,4000,0,0,0,1
24636000,24636000,1310988,1310988,8.5222255e-06,-3.9414692e-05,-2.7696986e-05,-4.7884064e-06,1.9154297e-05,-0.039025497,4000,4000,0,0,0,1
25136000,25136000,1310988,1310988,1.3848498e-05,5.326209e-06,-4.687164e-05,-5.267244e-05,-3.8306545e-05,-0.039308004,4000,4000,0,0,0,1
25636000,25636000,1310988,1310988,2.6631604e-05,-1.0652645e-06,-6.3916254e-06,0.00026336222,-0.00039264842,-0.03936547,4000,4000,0,0,0,1
26136000,26136000,1310988,1310988,1.5979045e-05,-1.8109431e-05,-1.0653038e-06,-0.00019632454,-3.8306545e-05,-0.0395187,4000,4000,0,0,0,1
26636000,26636000,1310988,1310988,-3.4088425e-05,-5.4328524e-05,4.260939e-06,-0.000100556485,3.8307924e-05,-0.039432503,4000,4000,0,0,0,1
27136000,27136000,1310988,1310988,3.195789e-06,7.669909e-05,-4.5806304e-05,6.703766e-05,-2.8729737e-05,-0.03892015,4000,4000,0,0,0,1
27636000,27636000,1310988,1310988,6.817677e-05,2.9827374e-05,9.161288e-05,2.873042e-05,-0.00014365141,-0.03945645,4000,4000,0,0,0,1
28136000,28136000,1310988,1310988,2.1304961e-06,4.261037e-06,8.522135e-06,0.00021068976,0.00046926425,-0.039403778,4000,4000,0,0,0,1
28636000,28636000,1310988,1310988,-7.1372466e-05,2.769718e-05,4.367608e-05,0.0003351883,-0.000110132605,-0.039308004,4000,4000,0,0,0,1
29136000,29136000,1310988,1310988,8.6286556e-05,3.302291e-05,-1.597896e-05,-0.0001388637,0.00014844122,-0.039375044,4000,4000,0,0,0,1
