timestamp,roll,pitch,yaw,thrust_body[0],thrust_body[1],thrust_body[2],reset_integral
2456000,0.0017521429,-0.0015868712,-0.0002985706,0.0,0.0,-0.001,0
2460000,0.0017846521,-0.0015682504,-5.7011726e-05,0.0,0.0,-0.001,0
2476000,0.002340373,-0.0014851936,8.019217e-05,0.0,0.0,-0.001,0
2496000,0.0030389521,-0.0014823639,-0.00036098802,0.0,0.0,-0.001,0
2516000,0.0032497945,-0.001738823,-0.0001403307,0.0,0.0,-0.001,0
2536000,0.0037324994,-0.0009632054,-0.00033372693,0.0,0.0,-0.001,0
2552000,0.004117206,-0.00052540866,-3.229019e-05,0.0,0.0,-0.001,0
2576000,0.0044349423,-0.0007162564,0.00015574202,0.0,0.0,-0.001,0
2592000,0.0048215524,-0.000941632,-0.00016150138,0.0,0.0,-0.001,0
2616000,0.004856679,0.000628234,1.6429854e-05,0.0,0.0,-0.001,0
2636000,0.00548677,0.00031175214,8.6821645e-05,0.0,0.0,-0.001,0
2656000,0.0063837008,-9.514852e-05,1.7600978e-05,0.0,0.0,-0.001,0
2676000,0.006723095,0.00018467769,-9.012803e-05,0.0,0.0,-0.001,0
2696000,0.007291258,-9.832107e-06,-0.0001902766,0.0,0.0,-0.001,0
2716000,0.007912962,0.00020380715,8.880421e-05,0.0,0.0,-0.001,0
2736000,0.008248242,0.00011156128,-7.935679e-05,0.0,0.0,-0.001,0
2756000,0.008391139,0.0011215807,-0.000108936394,0.0,0.0,-0.001,0
2776000,0.0082149245,0.0011128141,6.569935e-05,0.0,0.0,-0.001,0
2796000,0.007481118,0.0014730811,6.0046033e-05,0.0,0.0,-0.001,0
2816000,0.007758494,0.0021342994,-0.00025229243,0.0,0.0,-0.001,0
2836000,0.007877028,0.0022481408,7.1462884e-05,0.0,0.0,-0.001,0
2852000,0.007418056,0.0026954873,2.6036796e-05,0.0,0.0,-0.001,0
2876000,0.0074432455,0.0029717432,4.122025e-05,0.0,0.0,-0.001,0
2896000,0.0077441623,0.002954921,2.4971814e-05,0.0,0.0,-0.001,0
2916000,0.008192144,0.0024861267,6.308469e-05,0.0,0.0,-0.001,0
2936000,0.008060961,0.002264507,-3.6402798e-07,0.0,0.0,-0.001,0
2956000,0.007152359,0.0022913883,1.9028084e-07,0.0,0.0,-0.001,0
2976000,0.0065936986,0.0023458905,0.00014174347,0.0,0.0,-0.001,0
2996000,0.00680399,0.0021177349,7.117945e-05,0.0,0.0,-0.001,0
3016000,0.007610596,0.0021538904,0.00011069578,0.0,0.0,-0.001,0
3032000,0.0075025586,0.0025421402,0.00016070215,0.0,0.0,-0.001,0
3056000,0.006894645,0.002894462,-0.00024061542,0.0,0.0,-0.001,0
3076000,0.0070530213,0.0037805391,0.0,0.0,0.0,-0.001,0
3096000,0.007041721,0.0032269869,0.00015312433,0.0,0.0,-0.001,0
3116000,0.006123379,0.0030325695,7.468462e-05,0.0,0.0,-0.001,0
3136000,0.0056848773,0.00216397,-0.00071930885,0.0,0.0,-0.001,0
3156000,0.0057668607,0.002330165,-0.0004940033,0.0,0.0,-0.001,0
3176000,0.0058091856,0.0023818812,-0.00071555376,0.0,0.0,-0.001,0
3196000,0.0059088035,0.0026021544,-0.0005636811,0.0,0.0,-0.001,0
3216000,0.0061296355,0.0028329883,-0.0003375411,0.0,0.0,-0.001,0
3236000,0.0061624693,0.003538604,-0.0003709197,0.0,0.0,-0.001,0
3256000,0.00660261,0.0037125289,-0.000715971,0.0,0.0,-0.001,0
3276000,0.006427403,0.004024295,-5.6743622e-05,0.0,0.0,-0.001,0
3296000,0.0063106255,0.0029125477,-5.3822994e-05,0.0,0.0,-0.001,0
3312000,0.0063486956,0.0030175245,-0.00014269352,0.0,0.0,-0.001,0
3336000,0.0066914735,0.0024496578,7.009506e-05,0.0,0.0,-0.001,0
3356000,0.0064034173,0.0023497497,4.7147274e-05,0.0,0.0,-0.001,0
3376000,0.0066480953,0.0033944733,0.00019317865,0.0,0.0,-0.001,0
3396000,0.0059795827,0.003292343,0.00015187263,0.0,0.0,-0.001,0
3416000,0.0056018853,0.0032075758,6.175041e-05,0.0,0.0,-0.001,0
3432000,0.0054870723,0.0035412502,0.00030082464,0.0,0.0,-0.001,0
3456000,0.006556834,0.0030951058,0.0006842613,0.0,0.0,-0.001,0
3472000,0.006966805,0.002711102,0.0003041625,0.0,0.0,-0.001,0
3496000,0.007690002,0.0025173998,0.0003004074,0.0,0.0,-0.001,0
3516000,0.0069789924,0.0021200713,0.00017648935,0.0,0.0,-0.001,0
3536000,0.0063868593,0.0017462703,0.0003617406,0.0,0.0,-0.001,0
3556000,0.0065277657,0.0017895058,0.00029289722,0.0,0.0,-0.001,0
3576000,0.0070198784,0.002650396,4.130602e-05,0.0,0.0,-0.001,0
3596000,0.007164684,0.0024500613,0.00023907423,0.0,0.0,-0.001,0
3616000,0.006855661,0.0032630381,-1.7523766e-05,0.0,0.0,-0.001,0
3636000,0.0061735897,0.00305897,-2.9623508e-05,0.0,0.0,-0.001,0
3656000,0.0056878906,0.0029210881,1.7940998e-05,0.0,0.0,-0.001,0
3676000,0.0054504443,0.0033171831,-1.5854836e-05,0.0,0.0,-0.001,0
3696000,0.0055510043,0.003692965,1.7523766e-05,0.0,0.0,-0.001,0
3716000,0.00552049,0.0031754333,1.50203705e-05,0.0,0.0,-0.001,0
3732000,0.005310525,0.002839243,2.2530556e-05,0.0,0.0,-0.001,0
3756000,0.0052392045,0.002964075,3.2544136e-05,0.0,0.0,-0.001,0
3776000,0.0051626307,0.003180992,0.00023573637,0.0,0.0,-0.001,0
3796000,0.005044991,0.002860404,-9.262562e-05,0.0,0.0,-0.001,0
3816000,0.0052428455,0.0026492653,-0.00043725967,0.0,0.0,-0.001,0
3836000,0.0056787618,0.0016176014,2.8371811e-05,0.0,0.0,-0.001,0
3856000,0.0050876327,0.0013251081,7.343292e-05,0.0,0.0,-0.001,0
3876000,0.00434734,0.0014639688,-8.803606e-05,0.0,0.0,-0.001,0
3896000,0.0040844018,0.001974986,-0.00031667948,0.0,0.0,-0.001,0
3916000,0.0046394593,0.0023208275,-4.4226646e-05,0.0,0.0,-0.001,0
3936000,0.0043594865,0.0024742878,-0.00021612644,0.0,0.0,-0.001,0
3956000,0.004886011,0.0027558166,-5.4240227e-06,0.0,0.0,-0.001,0
3976000,0.005270527,0.00272654,-0.0003492236,0.0,0.0,-0.001,0
3996000,0.005882708,0.00273929,-7.426739e-05,0.0,0.0,-0.001,0
4016000,0.006139139,0.00295222,-7.301569e-05,0.0,0.0,-0.001,0
4036000,0.0066748005,0.0027173574,-9.596348e-05,0.0,0.0,-0.001,0
4056000,0.006929897,0.0024728996,0.00028663874,0.0,0.0,-0.001,0
4076000,0.0076470366,0.0024612048,4.5478344e-05,0.0,0.0,-0.001,0
4096000,0.008195853,0.0025976123,0.00013935566,0.0,0.0,-0.001,0
4116000,0.0091460515,0.0023226712,0.0001205802,0.0,0.0,-0.001,0
4136000,0.010156862,0.002140907,9.0539455e-05,0.0,0.0,-0.001,0
4156000,0.0111889895,0.001987039,7.5101852e-06,0.0,0.0,-0.001,0
4176000,0.011675447,0.001912694,-1.9609928e-05,0.0,0.0,-0.001,0
4196000,0.011243196,0.0026424038,-4.5895576e-06,0.0,0.0,-0.001,0
4216000,0.011308394,0.0027534952,-0.00014227629,0.0,0.0,-0.001,0
4236000,0.011735607,0.0026361756,1.7523766e-05,0.0,0.0,-0.001,0
4256000,0.011891123,0.002423067,-5.4240227e-06,0.0,0.0,-0.001,0
4276000,0.012182744,0.0028684353,-1.168251e-05,0.0,0.0,-0.001,0
4296000,0.012083433,0.0028950213,-2.169609e-05,0.0,0.0,-0.001,0
4316000,0.0126064345,0.0030439384,-2.3782253e-05,0.0,0.0,-0.001,0
4336000,0.012658307,0.002245402,7.8856945e-05,0.0,0.0,-0.001,0
4356000,0.013263794,0.0028419592,1.9609928e-05,0.0,0.0,-0.001,0
4376000,0.0141784195,0.0035911668,-0.00022238493,0.0,0.0,-0.001,0
4396000,0.014540064,0.0033935495,-0.00015062094,0.0,0.0,-0.001,0
4416000,0.014977448,0.0036250278,0.00022572279,0.0,0.0,-0.001,0
4436000,0.015011036,0.0032161353,-0.00015228987,0.0,0.0,-0.001,0
4456000,0.015042016,0.002780695,3.2544136e-05,0.0,0.0,-0.001,0
4476000,0.015367767,0.0036795167,0.00014060736,0.0,0.0,-0.001,0
4496000,0.016020358,0.0037336308,-8.34465e-07,0.0,0.0,-0.001,0
4516000,0.01588414,0.0039702575,0.00010180473,0.0,0.0,-0.001,0
4536000,0.01584026,0.0048356513,6.0081482e-05,0.0,0.0,-0.001,0
4556000,0.015153169,0.0055649146,6.967783e-05,0.0,0.0,-0.001,0
4576000,0.014661254,0.0060294876,-5.8412552e-05,0.0,0.0,-0.001,0
4596000,0.014792842,0.0065400098,-3.7550926e-05,0.0,0.0,-0.001,0
4616000,0.014772467,0.006863815,-5.0485134e-05,0.0,0.0,-0.001,0
4636000,0.014760418,0.00647512,6.133318e-05,0.0,0.0,-0.001,0
4656000,0.015030347,0.006284806,0.00017857552,0.0,0.0,-0.001,0
4676000,0.015366981,0.0063756225,3.46303e-05,0.0,0.0,-0.001,0
4696000,0.015514363,0.0069058216,0.0003258586,0.0,0.0,-0.001,0
4716000,0.015859246,0.006626781,-3.7133694e-05,0.0,0.0,-0.001,0
4736000,0.016036477,0.007005297,5.13196e-05,0.0,0.0,-0.001,0
4756000,0.016396886,0.0069369436,5.2154064e-05,0.0,0.0,-0.001,0
4776000,0.0161632,0.007170867,-0.00025326014,0.0,0.0,-0.001,0
4796000,0.0159561,0.006950072,0.000112235546,0.0,0.0,-0.001,0
4816000,0.015334282,0.007619412,-0.00012350082,0.0,0.0,-0.001,0
4836000,0.0143923145,0.007322749,2.9623508e-05,0.0,0.0,-0.001,0
4856000,0.014348188,0.007553208,-0.00029331446,0.0,0.0,-0.001,0
4876000,0.014041638,0.0072432533,9.471178e-05,0.0,0.0,-0.001,0
