timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,gyro_bias_stable,accel_bias_valid,accel_bias_stable,mag_bias_valid,mag_bias_stable
1760000,1608000,1310988,0.0,0.0,0.0,0.15,0.010000001,0.010000001,0.009993605,1310988,0.0,0.0,0.0,0.4,0.040000003,0.040000003,0.040000003,197388,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
1952000,1800000,1310988,0.0038026206,0.002458737,0.003411944,0.15,0.00022004891,0.00022004891,0.00022004578,1310988,6.1217675e-09,-4.872566e-09,2.0123527e-09,0.4,0.04,0.04,0.03999999,197388,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
1976000,1824000,1310988,0.0037960948,0.0024395986,0.0034119308,0.15,0.00021998682,0.00021998688,0.00021781074,1310988,0.0030436807,-0.0010427656,0.007636426,0.4,0.03840784,0.038407903,0.0042522373,197388,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
2152000,2000000,1310988,0.0044279057,0.0025285159,0.0024986705,0.15,0.00011122087,0.000111220885,0.000110673835,1310988,0.0033725656,-0.0009138885,0.007636851,0.4,0.038075976,0.03807603,0.0042522475,197388,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
2352000,2200000,1310988,0.0033467798,0.0010501799,0.0026091705,0.15,7.435718e-05,7.435719e-05,7.418468e-05,1310988,0.0035041342,-0.0010716827,0.0075817723,0.4,0.037706826,0.037706878,0.004232701,197388,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
2552000,2400000,1310988,0.003406528,0.00032167853,0.001699701,0.15,5.5297853e-05,5.5297816e-05,5.5791017e-05,1310988,0.0032892923,-0.0010903758,0.007448874,0.4,0.037344053,0.037344143,0.0041573658,197388,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
2752000,2600000,1310988,0.0018859633,0.00025674372,0.0022752734,0.15,4.3033535e-05,4.303342e-05,4.470679e-05,1310988,0.0029816718,-0.00133508,0.007133801,0.4,0.03698528,0.036985427,0.0040000775,197388,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
3016000,2864000,1310988,0.0013822865,0.00011753916,0.002161937,0.15,3.431437e-05,3.4314213e-05,3.7297814e-05,1310988,0.002756222,-0.001222814,0.0060084774,0.4,0.036521573,0.036521904,0.003432663,197388,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
3128000,2976000,1310988,0.0013815875,0.00011755936,0.0021616297,0.15,3.430146e-05,3.4301305e-05,3.72987e-05,1310988,0.0026454816,-0.0019908468,0.006008612,0.4,0.035915744,0.036113635,0.0034326685,197388,-0.0013337663,0.00021086508,-4.3173575e-05,0.5,0.0019610552,0.0016758401,0.0016688969,1,0,1,0,1,0
3272000,3120000,1310988,0.0010261058,0.0002271624,0.0020060483,0.15,2.975593e-05,2.9755816e-05,3.1995696e-05,1310988,0.001871844,-0.001487744,0.0054303533,0.4,0.035641048,0.035906248,0.0030055253,197388,-0.00043836742,0.00135503,-0.00018734405,0.5,0.0018458777,0.0014431014,0.0014321978,1,0,1,0,1,0
