timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ
1264000,0.0,0.0,0.0
1268000,0.0,0.0,0.0
1464000,0.0,0.0,0.0
1664000,0.0,0.0,0.0
1864000,0.0,0.0,0.0
2064000,0.0,0.0,0.0
2264000,0.0,0.0,0.0
2464000,0.0,0.0,0.0
2664000,0.0,0.0,0.0
2864000,0.0,0.0,0.0
3064000,0.0,0.0,0.0
3264000,0.0,0.0,0.0
3464000,0.0,0.0,0.0
3664000,0.0,0.0,0.0
3864000,0.0,0.0,0.0
4064000,0.0,0.0,0.0
4264000,0.0,0.0,0.0
4464000,0.0,0.0,0.0
4664000,0.0,0.0,0.0
4864000,0.0,0.0,0.0
5064000,0.0,0.0,0.0
5264000,0.0,0.0,0.0
5464000,0.0,0.0,0.0
5664000,0.0,0.0,0.0
5864000,0.0,0.0,0.0
6064000,0.0,0.0,0.0
6260000,0.0,0.0,0.0
6464000,0.0,0.0,0.0
6664000,0.0,0.0,0.0
6864000,0.0,0.0,0.0
7064000,0.0,0.0,0.0
7264000,0.0,0.0,0.0
7464000,0.0,0.0,0.0
7664000,0.0,0.0,0.0
7864000,0.0,0.0,0.0
8064000,0.0,0.0,0.0
8264000,0.0,0.0,0.0
8464000,0.0,0.0,0.0
8664000,0.0,0.0,0.0
8864000,0.0,0.0,0.0
9064000,0.0,0.0,0.0
9264000,0.0,0.0,0.0
9464000,0.0,0.0,0.0
9664000,0.0,0.0,0.0
9864000,0.0,0.0,0.0
10064000,0.0,0.0,0.0
10264000,0.0,0.0,0.0
10464000,0.0,0.0,0.0
10664000,0.0,0.0,0.0
10864000,0.0,0.0,0.0
11060000,0.0,0.0,0.0
11264000,0.0,0.0,0.0
11464000,0.0,0.0,0.0
11664000,0.0,0.0,0.0
11864000,0.0,0.0,0.0
12064000,0.0,0.0,0.0
12264000,0.0,0.0,0.0
12464000,0.0,0.0,0.0
12664000,0.0,0.0,0.0
12864000,0.0,0.0,0.0
13064000,0.0,0.0,0.0
13264000,0.0,0.0,0.0
13464000,0.0,0.0,0.0
13664000,0.0,0.0,0.0
13864000,0.0,0.0,0.0
14064000,0.0,0.0,0.0
14264000,0.0,0.0,0.0
14464000,0.0,0.0,0.0
14664000,0.0,0.0,0.0
14864000,0.0,0.0,0.0
15064000,0.0,0.0,0.0
15264000,0.0,0.0,0.0
15460000,0.0,0.0,0.0
15664000,0.0,0.0,0.0
15860000,0.0,0.0,0.0
16064000,0.0,0.0,0.0
16264000,0.0,0.0,0.0
16464000,0.0,0.0,0.0
16664000,0.0,0.0,0.0
16864000,0.0,0.0,0.0
17064000,0.0,0.0,0.0
17264000,0.0,0.0,0.0
17464000,0.0,0.0,0.0
17664000,0.0,0.0,0.0
17864000,0.0,0.0,0.0
18064000,0.0,0.0,0.0
18264000,0.0,0.0,0.0
18464000,0.0,0.0,0.0
18664000,0.0,0.0,0.0
18864000,0.0,0.0,0.0
19064000,0.0,0.0,0.0
19264000,0.0,0.0,0.0
19460000,0.0,0.0,0.0
19660000,0.0,0.0,0.0
19864000,0.0,0.0,0.0
20060000,0.0,0.0,0.0
20264000,0.0,0.0,0.0
20464000,0.0,0.0,0.0
20664000,0.0,0.0,0.0
20864000,0.0,0.0,0.0
21064000,0.0,0.0,0.0
21264000,0.0,0.0,0.0
21464000,0.0,0.0,0.0
21664000,0.0,0.0,0.0
21864000,0.0,0.0,0.0
22064000,0.0,0.0,0.0
22264000,0.0,0.0,0.0
22464000,0.0,0.0,0.0
22664000,0.0,0.0,0.0
22864000,0.0,0.0,0.0
23064000,0.0,0.0,0.0
23264000,0.0,0.0,0.0
23464000,0.0,0.0,0.0
23664000,0.0,0.0,0.0
23864000,0.0,0.0,0.0
24064000,0.0,0.0,0.0
24264000,0.0,0.0,0.0
24464000,0.0,0.0,0.0
24664000,0.0,0.0,0.0
24864000,0.0,0.0,0.0
25064000,0.0,0.0,0.0
25264000,0.0,0.0,0.0
25464000,0.0,0.0,0.0
25664000,0.0,0.0,0.0
25864000,0.0,0.0,0.0
26064000,0.0,0.0,0.0
26264000,0.0,0.0,0.0
26464000,0.0,0.0,0.0
26664000,0.0,0.0,0.0
26864000,0.0,0.0,0.0
27064000,0.0,0.0,0.0
27264000,0.0,0.0,0.0
27464000,0.0,0.0,0.0
27664000,0.0,0.0,0.0
27860000,0.0,0.0,0.0
28064000,0.0,0.0,0.0
28264000,0.0,0.0,0.0
28460000,0.0,0.0,0.0
28664000,0.0,0.0,0.0
28864000,0.0,0.0,0.0
29064000,0.0,0.0,0.0
29264000,0.0,0.0,0.0
29464000,0.0,0.0,0.0
29664000,0.0,0.0,0.0
29864000,0.0,0.0,0.0
30060000,0.0,0.0,0.0
30264000,0.0,0.0,0.0
30464000,0.0,0.0,0.0
30664000,0.0,0.0,0.0
30864000,0.0,0.0,0.0
31064000,0.0,0.0,0.0
31264000,0.0,0.0,0.0
